ZFA:0001484	1.6231094759320302E-8	1.235186311184275E-5	"superficial blastomere"
ZFA:0001185	1.7039901872418244E-8	1.2967365324910283E-5	"periderm"
ZFA:0000003	1.2856392556186785E-7	9.783714735258144E-5	"adaxial cell"
ZFA:0000086	1.311349797488168E-7	9.979371958884958E-5	"EVL"
ZFA:0009138	1.7069437948235055E-6	0.0012989842278606878	"mesodermal cell"
ZFA:0009291	1.9980460241039583E-6	0.0015205130243431122	"muscle precursor cell"
ZFA:0009025	2.9035871679791377E-6	0.002209629834832124	"myoblast"
ZFA:0009114	3.463391690651548E-6	0.002635641076585828	"muscle cell"
ZFA:0001373	3.863920863995721E-6	0.0029404437775007435	"migratory slow muscle precursor cell"
ZFA:0000105	7.006054905308394E-6	0.005331607782939687	"epidermis"
ZFA:0009251	1.753876422256771E-5	0.013346999573374027	"granulocyte monocyte progenitor cell"
ZFA:0009013	1.793456359452656E-5	0.01364820289543471	"single fate stem cell"
