Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
srpk3_wt_ttnb_wt_5	-3.5787877048885637	7.618582541962421	3.3799168126764387	3.623616679828406	-0.5820943870989753	5.186249355735838	-0.016914857414739304	-0.04882878946482047	-2.036828489497689	-0.277079192578249	-0.814526335346013
srpk3_wt_ttnb_wt_7	-6.383860871918051	4.046122920907907	-4.717066374882648	-3.6444222075385206	1.93953138151197	-0.5202649319837687	0.045474585181012064	0.6812823758332268	0.8455294933874213	1.754795452432616	-2.705438269628703
srpk3_hom_ttnb_het_9	6.806892240560161	5.408529553795856	3.342977834944663	0.14012392065576842	0.2994663636360503	-3.7743792650975703	-1.1881893556469643	-1.9868706608162738	-0.7791583102303274	3.0474215408288545	0.8352041465321194
srpk3_wt_ttnb_wt_2	-5.469732752785159	4.234414735250594	-1.1570216696932427	-2.5396449906689096	-2.5874445092547553	1.486912923034924	2.1304164429191275	0.5787623454890044	2.608497816607824	0.27946643030247265	2.9396634223526354
srpk3_hom_ttnb_het_2	7.3848951546307005	3.3740419410559985	-2.6264345309181936	-5.036907339499139	-0.01696920749823963	-0.5315785171624151	-1.7618472818479822	0.10619987372937922	-2.4093643601315398	-3.0466134595034107	0.5110873474063344
srpk3_wt_ttnb_wt_6	-7.478194143636941	-1.3355959140667328	-2.5648583522092103	4.787596874090457	4.55672858158606	-2.945736345470424	1.2323107746804332	1.201341189092706	-1.7110425775306743	-0.6657152689156927	1.3805833871193884
srpk3_hom_ttnb_het_10	6.089287059410497	2.318548001861258	3.511771774367639	2.537857668360397	0.2027126667985493	-2.278555643120311	0.36768213750549017	2.4804555530570154	3.288270572553471	-1.970480227508801	-1.227141520287482
srpk3_wt_ttnb_wt_4	-8.787441647537994	-7.020113749817564	6.985464925900462	-4.669508906075107	0.485460919605327	-0.6985828181133611	0.11834336429852291	-0.1483771233150104	-0.7013478179012431	-0.4169270054888443	-0.29786126151898806
srpk3_hom_ttnb_het_8	6.987406779815425	-4.2327068600993085	-0.9320277053039155	0.10453208722741844	4.246405572000858	2.873373954311849	2.91046075771337	-3.5993511410857497	1.4004542103453548	-0.3232227781501227	-0.10540989665800943
srpk3_wt_ttnb_wt_3	-5.348264569501383	-2.7367329223685015	-2.51773923307148	3.1442276727433676	-4.93358605932613	-1.6156612060644044	-2.5997406055628316	-3.3816231539906276	0.7366244596234397	-1.121855576967323	-0.6463530913980535
srpk3_hom_ttnb_het_7	3.6042421035944785	-6.12801263678348	-1.1134980105767356	0.8283756436840191	0.9454634614906036	2.887925746462331	-5.604662624615578	2.2170112177031385	0.6576294412411543	1.4816269624576903	0.7438869694301784
srpk3_hom_ttnb_het_1	6.173558352256826	-5.547077611698462	-1.5914854712337854	0.724152897191838	-4.555674783451314	-0.06970325253268095	4.36666666279014	1.8999983137680139	-1.8992644384671882	1.258583123090804	-0.6136948980034085
