Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
srpk3_hom_ttnb_het_1	-3.369925438946977	6.556098030379945	1.6576211800050467	0.7026054670115852	-0.5257657266027392	-1.9587927251178705	-4.574777097936861	0.6157694164008509	0.8363285150936102	-0.05539992741582403	1.5636204679936827	-2.4160842527592687	2.370607812741495	-1.515675645026394	1.4618748145205651	-0.9079852530827963	1.7545787415548224	-0.7747656904456968	0.4045847366623183
srpk3_hom_ttnb_het_2	-5.634790840832941	-2.498644259758641	0.9028795537098273	-5.074630687866972	-1.0044442678828578	-1.590792044341671	-1.4048804394985743	3.9260326267757772	-1.4567417708883823	-1.3929317038956583	-0.440179053416552	1.7174388037422403	-0.626511667447479	-1.58419413867066	-0.1711507955128325	-2.682904329533903	-0.5182347361808487	1.0165948777735117	-0.3843280764626924
srpk3_hom_ttnb_het_7	-1.0276776562162295	5.702474653952324	4.074560401825694	-1.3128920660283392	0.6754516831053395	4.036354410571903	3.391996649054052	2.006068839455601	0.09522263111010287	-1.4109590200999569	-0.9456481736603192	1.2196591166489943	0.3163200844973901	-1.9331797845198424	1.2406002913710559	0.7706444162972561	-1.4950794398409442	-1.4037120518992139	-0.42210394223619685
srpk3_hom_ttnb_het_8	-4.3753319816423994	2.6493547006677374	4.72580582987818	-0.0483708771056794	1.688758090342022	3.0436046325663844	-4.1024346421222475	-0.04044728851555311	0.4545704915917402	-1.7209815899927412	0.4671947100059307	0.9451889399584594	-3.2433156491782693	3.6795566677872964	-0.5235061811995619	0.5937861436423684	0.5460379748570905	-0.2450324968346962	-0.17656634111441738
srpk3_hom_ttnb_het_9	-5.667033865411664	-4.70071579160723	-0.6093540801169829	1.175196448222991	1.0259886609879534	-2.450994488857779	2.0495583025146686	1.0290551988303638	-2.7856540316348983	-0.044483643628850315	1.1724814726475912	1.6041507365584018	2.7158491840777255	2.98232468955637	-0.35567144114963606	0.19788983658557396	0.45436486540551	-0.5428549019000466	1.5785036057324202
srpk3_hom_ttnb_het_10	-4.6336785077871765	-1.8226057773629893	0.2582464576814016	4.173726333214037	1.2731722473089504	-1.2762368993290718	1.0334729484915546	1.1459851777535852	-2.0719175580711657	0.6228334246948319	2.8327408282423483	-0.608989654287559	-2.1974010524218124	-1.4038182925632303	-0.505217381417282	0.26739381587260097	-1.250638165814023	-1.6811068656198271	0.35202205538694553
srpk3_hom_ttnb_wt_1	-5.286980901594474	5.031889275280362	-4.952206216423342	1.0999148395147629	-0.8683032454897099	-0.1730396060779919	1.6304417839303982	-0.477188206695789	0.06267810824464048	1.3689653937482638	0.37666418106684924	1.2930407570378173	-2.5634506887876873	-1.4640577758553075	1.4739531346494446	1.3258613218416875	1.720215483157089	1.7456701117171014	1.6752785661451566
srpk3_hom_ttnb_wt_4	-6.706167738224819	-3.775702791975478	0.7152117659545613	-4.197109383446185	0.7943690120127571	-0.2893341261501266	1.0171613044962489	-1.354606357885148	4.465264250806312	1.112957980283372	-0.7503607418617089	-1.8805498856412122	-0.01376290163893653	0.983743889103339	1.3563559915353738	-0.3176884100469069	-1.937258129165179	0.543664931804312	1.8380803668529027
srpk3_hom_ttnb_wt_5	-3.5357674466038755	4.518313920762128	-3.157115172563831	1.6416079184887375	-3.42998252492787	-4.412575170618047	-0.20014531853874873	0.6585921531381348	2.6067471861351708	0.6410006401821002	-0.8009024890593885	1.523931528484999	0.2034134641160802	1.0196336038309741	-1.7181948595978025	0.6006396733716387	-1.3720155054948737	0.8000406637264894	-2.009583299995238
srpk3_hom_ttnb_wt_6	-4.619324086695203	-2.9133948999647674	4.37162342515921	4.106297519358353	-0.32711308925634264	0.932036741998914	2.789267553884768	-0.040450102596254825	0.9360485355182848	1.3649603784921545	-1.8803901347519199	-2.8326434167447987	-1.080311118296292	-0.6521736023566957	-2.6306712368727165	-1.4112272885275967	1.8085161014485456	-0.11970261732408234	-0.6749491169512435
