Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
srpk3_hom_ttnb_het_1	-6.059804194754106	-2.6665243981930695	0.5342003119518322	-3.266420981706981	1.2711947390574627	-2.6413589605444168	1.5756756098839915	-3.3671023917578875	1.222587997263911	0.40037006773755457	0.8503380608420739
srpk3_hom_ttnb_het_2	3.22977985663755	0.5495671909267408	5.245863004404721	-1.5924095143775592	-3.6680165274430223	-0.7001061254553008	2.7279264663829528	1.052518383115998	-2.149220985052704	-0.6370595543582998	1.1695048299659985
srpk3_hom_ttnb_het_7	-2.720419921769087	-6.006925826928943	-0.5774402017477326	5.294672811104588	-2.776622373444906	0.04647077989314489	-0.08806870535595389	0.13054405393305984	1.5731119420137087	-1.4443054049389081	0.4968451139831081
srpk3_hom_ttnb_het_8	-1.211513231911477	-5.345711364028297	-0.960661173996789	-4.277966284769358	-0.24186302821468425	4.703570933855218	-1.1339995673433103	1.78915129467571	0.2888931817781306	0.3720438927518831	-0.25345598554267945
srpk3_hom_ttnb_het_9	4.106567155856914	5.276818211253998	-0.24844651986888772	-0.9256378682639469	-2.4467489432508276	-0.42285322971223155	-2.6531634045010284	-0.291633633792191	3.1079423523477567	1.0186748944033122	1.4185200150319024
srpk3_hom_ttnb_het_10	0.814978648717122	3.89863400686588	-3.564198290519407	-0.487697642174045	-2.181407614949306	1.3606480311851405	1.39588782375978	-2.1489016377190344	-0.1200643901457322	-1.3876151095945213	-3.0121088349248306
srpk3_hom_ttnb_wt_1	-6.488047185499729	3.705625975327389	1.5872214607837296	2.6097365533585766	-0.026830516555413214	2.397595174126751	-1.4407387897187975	-1.2163361352113278	-2.56083238778732	2.0327576732748502	0.5190290537757765
srpk3_hom_ttnb_wt_4	4.555497234829791	0.8033860754693264	4.337256612282312	1.0454170638361766	4.62161314886871	2.01529748481703	-0.6124430244887824	-1.2945312851759976	0.3829493387354962	-2.33918140860371	0.36325399311427786
srpk3_hom_ttnb_wt_5	-6.146728779203781	3.799061499406247	1.9406692757220536	-0.09344716827583857	1.671361208843493	-2.1068401093298004	0.28784294144540146	3.8391471325616133	1.248181683373266	-0.5571103796743637	-1.4040218398713793
srpk3_hom_ttnb_wt_6	3.5121165446719584	0.7968811657785291	-5.071069459057017	1.7277844888558112	2.4174708819934954	0.831239089133198	3.7216847318660684	1.1488172836947625	0.33433104357401944	1.7321614518045045	1.1604012139734372
srpk3_hom_ttnb_wt_7	0.865901234388862	-0.42713660267343856	-5.4805935823151275	-0.9591046596741583	0.7382053880010786	-2.908956559179564	-2.5607737610968213	0.5878118519344686	-2.7578919660545234	-1.669263045830257	1.0036769768075575
srpk3_hom_ttnb_wt_8	5.541672638035987	-4.38367593320436	2.2571985623603026	0.9250732020867257	0.6216436370939222	-2.5747065087891716	-1.2198303208334953	-0.22948491625917983	-0.5699878100460213	2.4785269230279603	-2.3119825971552386
