A3	A3
B3	A5
C3	A8
D3	A11
E3	A12
F3	B1
G3	B3
H3	B4
A4	B5
B4	B8
C4	B9
D4	B11
E4	B12
F4	C4
G4	C5
H4	C6
E2	C7
F2	C8
G2	C10
H2	D2
A5	D4
B5	D5
C5	D7
D5	D11
