Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
srpk3_wt_ttnb_het_1	-6.48183837250369	5.9632537272080395	-1.814405745651452	-0.756326575715808	-0.11605141587695458	-2.1506491409768134	0.6544289629918503	-2.8284033740153296	-2.8362363073708483	-0.08078962908107792
srpk3_wt_ttnb_het_2	-1.0556975246120643	3.3020694453916795	-2.3764024262897494	1.7670555557359737	-3.241734962514522	-2.4037937816281603	2.8688784796849145	0.9221425717710017	3.2974762628600662	0.5589580869160464
srpk3_wt_ttnb_het_3	-8.147369144233977	-2.424469254963783	4.763668528098029	2.622840425290972	3.1407454691049583	-0.29107209573104365	-2.061778864300384	-1.3831530529478664	2.1040899550727445	0.34941477526997644
srpk3_wt_ttnb_het_8	-0.4454835658491671	5.903785708259957	-0.690476422300335	-0.19755413200178976	0.008608571950929622	0.04479735501704774	-4.236111739257841	3.7205907912348257	-0.4125402709773681	-0.4289569169447926
srpk3_wt_ttnb_het_9	-3.8477356135835215	-0.5761198410964524	0.8693130888289533	-2.4305803626607165	3.7199187106975407	2.3139830642857775	4.153338278305727	2.523303850958529	-0.6681326659750944	-0.3258661462881335
srpk3_wt_ttnb_wt_2	0.49587483709084523	-2.7185483996313646	-0.8992793820459993	-4.50069726664104	-1.891121975166508	0.8331968878931961	-0.859206463629085	-1.395721678336629	1.347951983312796	-3.344966675831614
srpk3_wt_ttnb_wt_3	3.4600335032035803	2.0474722518689497	-3.9378988916510305	2.803004073032975	0.20481164367786953	5.467403791854956	-0.3679411121814615	-1.8109452210637116	0.38710403852869707	0.8979633555615406
srpk3_wt_ttnb_wt_4	9.906436938353258	3.8417621653829355	7.524035609328488	-1.0841563612792142	-0.36701645597127996	-0.358435199531994	0.767231621909006	-0.8736594900235786	-0.2259036353145923	0.46052682325416733
srpk3_wt_ttnb_wt_5	-3.2031355651044318	-6.315736245611173	2.3103001935696885	1.7568206096390948	-5.57822160980119	0.9985963012419019	0.012025170132966778	1.01093554287069	-2.0647227845694696	0.6987100556622292
srpk3_wt_ttnb_wt_6	6.48503103529237	-4.287437112130786	-2.5181654072283886	4.858014957776078	2.7533117909050318	-2.7072781923463145	0.36739727878581	0.3459374451631493	-1.1681916724352739	-1.5741092378944992
srpk3_wt_ttnb_wt_7	2.833883471946794	-4.736032444677997	-3.2306891446582062	-4.838420923176521	1.36675023299413	-1.7467489900785556	-1.298261612441498	-0.23102738561107536	0.2391050968683423	2.7891155093761535
