Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
srpk3_wt_ttnb_het_1	-7.073253113957376	5.779365290874489	-3.066988826919693	0.34908297129867094	-1.289759972317814	0.8575856021086522	-2.079174260412284	0.5973932060763224	-2.765907847265679	3.022447290946478	0.2464024624570454
srpk3_wt_ttnb_het_2	-1.4165331728285357	2.8525041981243726	-4.248143448720262	-2.185347280707832	-0.9479854985696506	-2.613889681656894	-1.4948553811221854	3.856765055232594	0.8664211307473053	-3.100926452882772	-0.7027710596813646
srpk3_wt_ttnb_het_3	-8.203381752181969	-2.376194977464279	4.892298114672982	-2.551234942276247	2.6997292944459956	1.666068641895333	-1.3559226122260477	-2.2043232619459565	-1.646023246621703	-2.4290073070405898	-0.45736162333527924
srpk3_wt_ttnb_het_7	1.6580706769135074	2.908303998652541	7.149096445708013	3.4884528590709936	2.9709764865478974	-4.427277757066461	0.5490305521551787	1.4311757132769947	-0.38966167271227825	0.7779621346909215	0.34443528225903486
srpk3_wt_ttnb_het_8	-0.7121880716112868	5.7413234996493205	-1.564436457405618	0.05123944624959495	-0.21387268640729964	-1.0410796465405654	-0.4323044134160072	-4.715863986417926	3.792248345808769	0.02966587371372656	0.28918674484901224
srpk3_wt_ttnb_het_9	-4.086010848790824	-0.4034935513038289	1.6348245221709616	2.6760896927262037	0.46675260295636484	4.670436555252747	2.0624562946554774	3.0646511022272924	3.0889039901735225	0.3733117406156752	0.22233712776229198
srpk3_wt_ttnb_wt_2	0.29958576665180947	-3.3170577176331664	-0.9090578045898456	2.547712898427795	-4.163926660716442	-0.4750547466060866	1.248750959325177	-0.8155091064269239	-1.3286291425455388	-1.4971938237624671	3.639467155944021
srpk3_wt_ttnb_wt_3	3.5829915052429744	1.7305597592101858	-4.763281383902655	-0.12131061454202266	3.5961569195629624	0.6210873656390401	5.330669253474982	-0.9234419186369704	-2.0619650488059698	-0.49230010313667016	-0.9513262429495737
srpk3_wt_ttnb_wt_4	10.081200787889266	3.8517999082321883	4.713131164529264	-3.7207655431233206	-3.671641223440387	2.5487851168030002	-0.42949963622009013	0.2228030365164433	-0.7359994415826508	0.02480949578515798	-0.5241270754523577
srpk3_wt_ttnb_wt_5	-3.204420639936929	-7.036343307006894	0.4726601766468207	-4.7688994734544945	-2.301004124848239	-2.6813862842218503	2.2812706800251	0.118813903067912	1.016880708986493	2.34173849645084	-0.7675931613059231
srpk3_wt_ttnb_wt_6	6.427139620200915	-4.70455713281331	-2.9410343148420783	-1.5019328628718243	5.014929949324084	0.800998986743128	-3.580914629043245	0.4650587748762376	0.5712484947006725	1.1294212826336103	1.6464979484667845
srpk3_wt_ttnb_wt_7	2.6467992424084423	-5.026209968521607	-1.3690681873478887	5.736912849202486	-2.1603550865374794	0.07372584764995535	-2.0995068071960445	-1.0975225178460188	-0.4075162708829396	-0.1799286280139067	-2.9851475590136896
