srpk3_hom_ttnb_wt_1	srpk3_hom_ttnb_wt	clutch2
srpk3_hom_ttnb_wt_4	srpk3_hom_ttnb_wt	clutch1
srpk3_hom_ttnb_wt_5	srpk3_hom_ttnb_wt	clutch2
srpk3_hom_ttnb_wt_6	srpk3_hom_ttnb_wt	clutch1
srpk3_hom_ttnb_wt_7	srpk3_hom_ttnb_wt	clutch1
srpk3_hom_ttnb_wt_8	srpk3_hom_ttnb_wt	clutch1
srpk3_wt_ttnb_wt_2	srpk3_wt_ttnb_wt	clutch1
srpk3_wt_ttnb_wt_3	srpk3_wt_ttnb_wt	clutch2
srpk3_wt_ttnb_wt_4	srpk3_wt_ttnb_wt	clutch2
srpk3_wt_ttnb_wt_5	srpk3_wt_ttnb_wt	clutch1
srpk3_wt_ttnb_wt_6	srpk3_wt_ttnb_wt	clutch1
srpk3_wt_ttnb_wt_7	srpk3_wt_ttnb_wt	clutch1
