Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
srpk3_hom_ttnb_wt_1	-7.734823660643274	7.023808391970912	-0.5642435500218501	0.6931782770320267	0.31239144944094954	-2.4072961702341145	3.783851384471653	-0.23119021730912948	1.8457615795030247	-0.1084950362704255	0.35294572661546264
srpk3_hom_ttnb_wt_4	-8.262005932548789	-3.873749365565755	2.0119861528674083	4.214221210111526	0.6054030387996033	1.5444774991419177	-1.8552674178363657	-2.5039118357637378	2.1611801849595063	0.7911442677074039	-1.3102064932344346
srpk3_hom_ttnb_wt_5	-5.989665864696134	6.915391980236197	-1.6906926587966453	0.20239562108854842	-1.8741706103386624	0.11048224449216364	-3.5290733492127804	0.20118193186687336	-1.5397862739778687	-2.447459677701232	0.22442142772254003
srpk3_hom_ttnb_wt_6	-6.0169258468116205	-3.918606975690562	-1.5669874814689753	-3.572308691506899	3.249601742010894	2.273128690212208	-0.05762346333889515	4.0393531955493565	1.142155868266001	-0.2713029658985876	0.3794980661434183
srpk3_hom_ttnb_wt_7	-3.287566933058788	-2.4099455329199775	-2.8329304493131016	-4.357139203485247	0.513957398551264	-3.764505441378729	-0.9470052767908145	-0.3732807716517451	-1.8239829334141897	2.433092919540268	-1.2250449235051768
srpk3_hom_ttnb_wt_8	-4.171551548116842	-6.917751450866614	-1.5453048441049957	2.7015809957769696	-3.0434268828581033	0.81618703589587	2.2771875902796284	-0.9166057937936203	-2.4975271440069085	-0.6402076459286271	1.7205788387132663
srpk3_wt_ttnb_wt_2	4.715378593590784	1.3504654353384002	5.0315518355265345	2.9393328077674727	-0.9693907315761598	-1.3530062595551995	-1.849125058795762	1.4620337971233095	0.5340848723626563	2.2763081987002467	2.392992905047013
srpk3_wt_ttnb_wt_3	4.8226140871044905	5.270571261378154	-2.0863007491470484	-1.231506982029036	-3.513100521339411	4.298900087205462	1.0907995091027713	-0.07152113567356727	-0.5563867648486769	2.2128599113004657	-0.9517755874462057
srpk3_wt_ttnb_wt_4	9.864451858963413	0.036247986137916216	-7.283346871462585	5.2545041471975695	4.9789525645307675	-0.5912726183542806	-0.07608833298707252	0.06745854848104432	0.015469165622804884	-0.5118176846915222	-0.28963900263551273
srpk3_wt_ttnb_wt_5	2.7782408323986116	1.5656838877719963	7.89810045383933	-2.1294555557445403	5.961171639907313	1.0046670249811838	0.9559061263158224	-1.3541779757630665	-1.861835575533164	-0.7574564665651273	-0.2449912172845773
srpk3_wt_ttnb_wt_6	7.376789738794244	-2.265366630068709	-1.5876156209006418	-6.219597027585012	-1.8251918306351604	-0.26857861478985173	-0.5604381227316799	-2.4349071649758813	2.250032281548627	-1.3189644084077945	1.1685552126482068
srpk3_wt_ttnb_wt_7	5.905064675023913	-2.7767489877219766	4.215783782982579	1.504794401376627	-4.396197256493298	-1.6631834776166263	0.7668764115234947	2.1155674219101748	0.3308347395181902	-1.6577014117850732	-2.2173349527840003
