Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
srpk3_hom_ttnb_het_1	-3.447565995539855	6.3960048893833275	2.0292978278006637	0.6052183887422277	-0.031310601902278114	2.0620710019021695	-2.0386846702913233	4.207358043206327	-1.4291041355256273	1.2774077358570242	-1.337969849033592	2.7014179404135144	-0.8847577509776752	2.1713618202764304	-1.3576358248010014	0.6978579760106736	-0.9649517250242872	1.8946690364200094	0.9556919980898169
srpk3_hom_ttnb_het_2	-5.970672300086619	-2.510074934414752	0.554079471094481	-5.16136894881374	1.0905883031259582	1.4640707802493051	0.5447328331358627	3.194695366996604	3.149104213478765	-1.6404389984985384	-0.13329473479929918	-1.131979062248084	1.0108817141322342	-0.16796053998902188	-2.140752647617113	-0.6125699674086653	-2.324193874035583	-1.2782869396085537	0.39573582550476044
srpk3_hom_ttnb_het_7	-1.3848896539145454	5.553849942952931	4.348095266301959	-1.4109782685249885	1.1960368481687877	-4.558599229346575	1.4375730117187338	-1.7387801376262964	1.667141126538354	-2.374329678880558	0.5145633903900366	-0.7740105426626341	-0.05706139115389417	1.2774166083974057	-1.8885688897781205	1.156087252492202	1.617593157708058	-0.9834379275041782	0.9143716957464549
srpk3_hom_ttnb_het_8	-4.487528999517987	2.3626768031073544	4.866570542567089	-0.5166228513146709	-1.5129199462796352	-2.663730725467178	-3.8720831821231583	2.052183933338336	-0.39697083094642516	-1.8217359335916208	-1.153063201928068	-0.496719382511859	1.2622594837605887	-4.285990406066421	2.693320473414409	-0.04751561532142935	0.40756785266453344	0.6696233857496026	-0.21605515585917123
srpk3_hom_ttnb_het_9	-6.015031562144593	-4.536573096197653	-0.7857803619101501	1.2580242991436976	-1.2739338724980815	1.297707087093454	2.901373033467297	-0.2981272669862835	2.740134857296363	1.5345487070957087	-1.7278998597555548	-0.5198416478363359	2.4950392090824893	1.6863397220631442	3.0877118820286453	-0.04126793437104796	0.20062985870976616	0.46723534720972776	0.8975976836615348
srpk3_hom_ttnb_het_10	-4.819355341339478	-1.8646906937215961	0.43468919462295236	4.263363953214224	-1.5623196381420108	0.4870096223311188	1.5669782613490577	0.004728834739986726	2.051145923719334	1.174208634945689	0.6277490654553809	2.5411890918669977	1.1513106684599888	-2.097086232823426	-1.816101951744151	-0.950050310255447	1.630759188410269	-0.6339948852315658	0.9342898507998039
srpk3_hom_ttnb_wt_1	-5.36910929375386	5.509993500330581	-4.678290146728178	1.3183126229612243	0.41492774386232467	0.6037915801492318	0.5862292470557228	-1.725338853604108	0.2865463655258774	-0.05690622091059758	2.4221146514936454	-0.23415563465083078	0.8844694600010987	-1.5946734250202796	-1.7705878501611447	1.9077050727448661	-0.11194215379381492	1.3300019524642759	-1.3383639043353992
srpk3_hom_ttnb_wt_4	-7.05548872815463	-3.8740176297730216	0.1824461370897305	-4.302501950957245	-0.1813958316607891	-0.4571377109034397	1.5317451932143915	-0.4131729558305076	-4.47784997590556	-0.13152009347336668	1.2404779485042583	0.584132759973877	-1.9380329945349812	-0.21284719674655692	1.0564681359448946	1.4860429112003322	-0.36774442571448435	-2.0441427777086894	0.4484432560285783
srpk3_hom_ttnb_wt_5	-3.7245678974512515	4.937024219304555	-2.976711542009837	1.8752641723100205	2.145087300886125	4.628378921550326	1.6590176356786783	1.788288307422952	-1.9951902198113696	-1.1044109652316982	1.5109743515459144	-1.5279131312041598	0.758979579495251	0.32826779723666155	1.4903828721804844	-1.1908814133042371	0.37633644204591976	-1.2695710794498316	-1.5043783700756514
srpk3_hom_ttnb_wt_6	-5.00411648889232	-3.087687285117494	4.321457335877712	4.162789329361244	0.5116408925375947	-1.0483586541282781	1.5988400329722814	-1.9288968681381302	-0.4059216608772459	-0.1813351846284012	2.002749593255299	0.24713286946234136	-3.425417014338664	-0.5903369099061804	-0.0010407059890925885	-3.0491338149545806	-1.4354848655653032	1.5165414687639795	0.17052740054249194
