Total reads: 14215255
Fragment number: 36413987
percentile	count
0	91097
1	250532
2	426960
3	601530
4	709554
5	811379
6	910694
7	1033793
8	1119135
9	1189304
10	1244923
11	1325206
12	1374019
13	1372506
14	1406696
15	1462940
16	1492550
17	1565893
18	1613052
19	1630657
20	1672660
21	1681602
22	1681820
23	1706607
24	1686771
25	1685682
26	1660001
27	1629225
28	1610736
29	1608909
30	1612986
31	1625267
32	1630253
33	1665164
34	1673835
35	1672037
36	1649355
37	1650320
38	1667973
39	1650890
40	1642005
41	1644381
42	1652680
43	1659575
44	1636196
45	1606758
46	1603448
47	1630215
48	1639062
49	1644031
50	1660622
51	1686632
52	1688787
53	1654569
54	1654455
55	1663164
56	1664460
57	1674343
58	1672578
59	1673813
60	1663867
61	1648002
62	1630792
63	1621349
64	1608143
65	1596103
66	1543861
67	1541596
68	1570099
69	1584564
70	1610343
71	1620287
72	1604028
73	1592168
74	1578246
75	1568669
76	1546401
77	1522641
78	1511522
79	1496112
80	1471075
81	1437967
82	1451951
83	1435271
84	1393217
85	1342776
86	1304500
87	1249099
88	1219209
89	1186817
90	1130136
91	1078477
92	1020139
93	951593
94	878673
95	788672
96	678799
97	580433
98	472043
99	346066
100	199784
