-200	-191	166936
-190	-181	96601
-180	-171	85628
-170	-161	72995
-160	-151	261741
-150	-141	665005
-140	-131	700091
-130	-121	720628
-120	-111	733240
-110	-101	728589
-100	-91	736043
-90	-81	757443
-80	-71	764831
-70	-61	762242
-60	-51	755530
-50	-41	745389
-40	-31	737831
-30	-21	718338
-20	-11	699278
-10	-1	696694
0	9	608837
10	19	547902
20	29	494720
30	39	444275
40	49	398854
50	59	355626
60	69	318563
70	79	285716
80	89	257380
90	99	232402
100	109	208107
110	119	187477
120	129	172788
130	139	159237
140	149	145325
150	159	135135
160	169	124476
170	179	115744
180	189	107244
190	199	99060
200	209	90890
210	219	83605
220	229	75836
230	239	69719
240	249	63761
250	259	58238
260	269	53910
270	279	49305
280	289	45026
290	299	40879
300	309	37568
310	319	34790
320	329	30956
330	339	28391
340	349	25689
350	359	23207
360	369	21121
370	379	19850
380	389	17834
390	399	16661
400	409	18870
410	419	14070
420	429	13361
430	439	12139
440	449	11042
450	459	10119
460	469	9281
470	479	8712
480	489	7768
490	499	7152
500	509	6561
510	519	6024
520	529	5623
530	539	5100
540	549	4570
550	559	4398
560	569	4163
570	579	3873
580	589	3717
590	599	3493
600	609	3258
610	619	3049
620	629	2946
630	639	2798
640	649	2562
650	659	2533
660	669	2314
670	679	2186
680	689	2069
690	699	2082
700	709	1978
710	719	1762
720	729	1557
730	739	1533
740	749	1512
750	759	1423
760	769	1406
770	779	1297
780	789	1150
790	799	1189
800	809	1099
810	819	1025
820	829	951
830	839	867
840	849	891
850	859	821
860	869	836
870	879	805
880	889	771
890	899	731
900	909	720
910	919	687
920	929	674
930	939	736
940	949	601
950	959	605
960	969	623
970	979	592
980	989	564
