Total reads: 17008179
Fragment number: 44162384
percentile	count
0	107066
1	296794
2	508860
3	716463
4	856259
5	982077
6	1107031
7	1254386
8	1359892
9	1444442
10	1515819
11	1619151
12	1678116
13	1678681
14	1723515
15	1810626
16	1844885
17	1927160
18	1979527
19	1997560
20	2049204
21	2067894
22	2074757
23	2099222
24	2063323
25	2076812
26	2039905
27	1992014
28	1967566
29	1968966
30	1976409
31	1988786
32	1997428
33	2056461
34	2055439
35	2053860
36	2026670
37	2026848
38	2044046
39	2022528
40	2011963
41	2013662
42	2024414
43	2037434
44	2002613
45	1971411
46	1980238
47	2005558
48	2016935
49	2022968
50	2034248
51	2061836
52	2063081
53	2017977
54	2017669
55	2019650
56	2014977
57	2037847
58	2039801
59	2048179
60	2036035
61	2023903
62	2000299
63	1987444
64	1969809
65	1949334
66	1879985
67	1877672
68	1898614
69	1919978
70	1964999
71	1971781
72	1949311
73	1929171
74	1913481
75	1902221
76	1872537
77	1844938
78	1826990
79	1804858
80	1778900
81	1737481
82	1764155
83	1739323
84	1684277
85	1625072
86	1574737
87	1510747
88	1473880
89	1433138
90	1367121
91	1299566
92	1227054
93	1135391
94	1043898
95	936120
96	806570
97	692358
98	565024
99	417436
100	239163
