gene	Counts
ENSDARG00000000606	55
ENSDARG00000001870	6272
ENSDARG00000002190	847
ENSDARG00000002285	311
ENSDARG00000002377	137
ENSDARG00000002406	13
ENSDARG00000002791	9754
ENSDARG00000002937	508
ENSDARG00000003054	31
ENSDARG00000003398	321
ENSDARG00000003631	622
ENSDARG00000003866	1757
ENSDARG00000004246	813
ENSDARG00000004427	231
ENSDARG00000004633	31
ENSDARG00000004634	254
ENSDARG00000005210	198
ENSDARG00000005479	2035
ENSDARG00000005544	69
ENSDARG00000005578	806
ENSDARG00000006392	167
ENSDARG00000006427	6486
ENSDARG00000006621	421
ENSDARG00000007289	16
ENSDARG00000007387	204
ENSDARG00000007534	11
ENSDARG00000007734	38
ENSDARG00000007739	1705
ENSDARG00000008131	224
ENSDARG00000008279	29
ENSDARG00000008457	289
ENSDARG00000008706	1919
ENSDARG00000008723	519
ENSDARG00000008886	130
ENSDARG00000008969	3002
ENSDARG00000009026	716
ENSDARG00000009472	161
ENSDARG00000010078	473
ENSDARG00000010376	5
ENSDARG00000010442	325
ENSDARG00000010791	429
ENSDARG00000011299	574
ENSDARG00000011876	283
ENSDARG00000012297	123
ENSDARG00000012458	1496
ENSDARG00000012672	310
ENSDARG00000012763	187
ENSDARG00000012896	550
ENSDARG00000012903	833
ENSDARG00000013023	24
ENSDARG00000013505	599
ENSDARG00000013741	322
ENSDARG00000013787	234
ENSDARG00000013881	342
ENSDARG00000014098	204
ENSDARG00000014790	807
ENSDARG00000015076	133
ENSDARG00000015266	1013
ENSDARG00000015312	192
ENSDARG00000015559	124
ENSDARG00000015803	48
ENSDARG00000015946	105
ENSDARG00000016065	39
ENSDARG00000016263	731
ENSDARG00000016304	215
ENSDARG00000016470	869
ENSDARG00000016548	1620
ENSDARG00000016706	926
ENSDARG00000016793	16525
ENSDARG00000016994	199
ENSDARG00000017119	316
ENSDARG00000017255	192
ENSDARG00000017441	49519
ENSDARG00000017537	48
ENSDARG00000017591	3108
ENSDARG00000017744	687
ENSDARG00000017772	6395
ENSDARG00000017905	953
ENSDARG00000017984	2
ENSDARG00000017985	368
ENSDARG00000018117	7
ENSDARG00000018190	937
ENSDARG00000018263	1833
ENSDARG00000018325	308
ENSDARG00000018460	1064
ENSDARG00000018587	3
ENSDARG00000018721	381
ENSDARG00000019581	779
ENSDARG00000019715	39
ENSDARG00000020857	108
ENSDARG00000022690	203
ENSDARG00000022845	190
ENSDARG00000022971	258
ENSDARG00000023151	3386
ENSDARG00000024785	644
ENSDARG00000024827	40
ENSDARG00000025233	46
ENSDARG00000025325	202
ENSDARG00000025350	5034
ENSDARG00000025754	334
ENSDARG00000025904	1298
ENSDARG00000026068	398
ENSDARG00000026387	74
ENSDARG00000026771	400
ENSDARG00000026902	84
ENSDARG00000027078	792
ENSDARG00000027355	8465
ENSDARG00000027497	113
ENSDARG00000027572	234
ENSDARG00000027826	50
ENSDARG00000028276	19
ENSDARG00000028982	768
ENSDARG00000029133	342
ENSDARG00000029718	41
ENSDARG00000029751	164
ENSDARG00000030368	592
ENSDARG00000030563	97
ENSDARG00000030703	62
ENSDARG00000030972	275
ENSDARG00000031164	2550
ENSDARG00000031435	2233
ENSDARG00000031632	212
ENSDARG00000031836	547
ENSDARG00000031894	462
ENSDARG00000031952	753
ENSDARG00000032056	211
ENSDARG00000032808	9
ENSDARG00000033273	74
ENSDARG00000033604	639
ENSDARG00000033666	382
ENSDARG00000034093	220
ENSDARG00000034105	454
ENSDARG00000034785	98
ENSDARG00000034862	327
ENSDARG00000034910	0
ENSDARG00000035692	17168
ENSDARG00000036008	331
ENSDARG00000036295	818
ENSDARG00000036371	1217
ENSDARG00000036415	210
ENSDARG00000036471	0
ENSDARG00000036479	8
ENSDARG00000036494	115
ENSDARG00000036545	8
ENSDARG00000036587	179
ENSDARG00000036637	24
ENSDARG00000036658	1211
ENSDARG00000036687	1257
ENSDARG00000036967	1221
ENSDARG00000036995	265
ENSDARG00000037002	5
ENSDARG00000037018	415
ENSDARG00000037099	459
ENSDARG00000037100	82
ENSDARG00000037144	172
ENSDARG00000037177	933
ENSDARG00000037178	113
ENSDARG00000037259	571
ENSDARG00000037260	106
ENSDARG00000037261	344
ENSDARG00000037278	56
ENSDARG00000037283	297
ENSDARG00000037383	5
ENSDARG00000037410	107
ENSDARG00000037484	133
ENSDARG00000037487	105
ENSDARG00000037576	2
ENSDARG00000037619	4
ENSDARG00000037646	62
ENSDARG00000037654	136
ENSDARG00000037679	317
ENSDARG00000037713	470
ENSDARG00000037747	470
ENSDARG00000037758	2
ENSDARG00000037760	156
ENSDARG00000037777	145
ENSDARG00000038114	51
ENSDARG00000038352	0
ENSDARG00000039063	6
ENSDARG00000039131	611
ENSDARG00000039613	83
ENSDARG00000039615	46
ENSDARG00000040048	324
ENSDARG00000040245	2998
ENSDARG00000040246	46
ENSDARG00000040250	0
ENSDARG00000040252	242
ENSDARG00000041399	0
ENSDARG00000041570	459
ENSDARG00000042688	19
ENSDARG00000042887	312
ENSDARG00000042988	1581
ENSDARG00000043226	48
ENSDARG00000043247	156
ENSDARG00000043271	1
ENSDARG00000043431	45
ENSDARG00000043445	0
ENSDARG00000043548	257
ENSDARG00000043587	370
ENSDARG00000045618	2564
ENSDARG00000045620	464
ENSDARG00000051965	70
ENSDARG00000051981	124
ENSDARG00000051986	1840
ENSDARG00000051989	126
ENSDARG00000051993	0
ENSDARG00000052012	161
ENSDARG00000052016	207
ENSDARG00000052037	56
ENSDARG00000052207	1879
ENSDARG00000052348	1555
ENSDARG00000052386	213
ENSDARG00000052438	899
ENSDARG00000052480	1241
ENSDARG00000052512	21
ENSDARG00000052677	0
ENSDARG00000052703	99
ENSDARG00000052766	43
ENSDARG00000052895	7
ENSDARG00000052899	6
ENSDARG00000053106	28
ENSDARG00000053241	156
ENSDARG00000053248	414
ENSDARG00000053269	134
ENSDARG00000053500	638
ENSDARG00000053502	733
ENSDARG00000053542	228
ENSDARG00000053580	6
ENSDARG00000054031	108
ENSDARG00000054334	178
ENSDARG00000054655	0
ENSDARG00000054680	15
ENSDARG00000056151	3560
ENSDARG00000056163	31
ENSDARG00000056376	21
ENSDARG00000056400	85
ENSDARG00000056742	339
ENSDARG00000056797	413
ENSDARG00000057114	279
ENSDARG00000057303	890
ENSDARG00000058287	299
ENSDARG00000058460	4
ENSDARG00000058464	16
ENSDARG00000058471	406
ENSDARG00000058480	109
ENSDARG00000058803	493
ENSDARG00000058962	40
ENSDARG00000058996	153
ENSDARG00000059060	154
ENSDARG00000059653	848
ENSDARG00000059835	351
ENSDARG00000059900	204
ENSDARG00000060036	770
ENSDARG00000060148	204
ENSDARG00000060184	492
ENSDARG00000060252	460
ENSDARG00000060264	8
ENSDARG00000060383	188
ENSDARG00000060397	765
ENSDARG00000060477	282
ENSDARG00000060620	98
ENSDARG00000060716	185
ENSDARG00000061021	227
ENSDARG00000061451	241
ENSDARG00000061504	307
ENSDARG00000061629	242
ENSDARG00000061732	727
ENSDARG00000061830	285
ENSDARG00000061936	40
ENSDARG00000062055	612
ENSDARG00000062132	707
ENSDARG00000062198	914
ENSDARG00000062309	2
ENSDARG00000062467	76
ENSDARG00000062606	87
ENSDARG00000063003	404
ENSDARG00000063108	0
ENSDARG00000063207	74
ENSDARG00000063253	81
ENSDARG00000063270	280
ENSDARG00000063297	114
ENSDARG00000063385	383
ENSDARG00000067781	34
ENSDARG00000068182	86
ENSDARG00000069114	41
ENSDARG00000069116	508
ENSDARG00000069194	21
ENSDARG00000069249	333
ENSDARG00000069264	41
ENSDARG00000069415	4721
ENSDARG00000069435	16
ENSDARG00000069559	313
ENSDARG00000069595	526
ENSDARG00000069632	118
ENSDARG00000069701	120
ENSDARG00000069707	4
ENSDARG00000069710	4
ENSDARG00000069737	561
ENSDARG00000069799	0
ENSDARG00000069804	13
ENSDARG00000069910	325
ENSDARG00000069946	703
ENSDARG00000069951	260
ENSDARG00000069989	553
ENSDARG00000069996	116
ENSDARG00000070109	413
ENSDARG00000070121	0
ENSDARG00000070266	1576
ENSDARG00000070320	24
ENSDARG00000070321	37
ENSDARG00000070431	672
ENSDARG00000070449	276
ENSDARG00000070452	230
ENSDARG00000070558	95
ENSDARG00000073848	381
ENSDARG00000073902	277
ENSDARG00000073912	6
ENSDARG00000074031	218
ENSDARG00000074069	5
ENSDARG00000074212	21
ENSDARG00000074213	60
ENSDARG00000074275	366
ENSDARG00000074302	0
ENSDARG00000074334	2
ENSDARG00000074372	99
ENSDARG00000074379	49
ENSDARG00000074381	551
ENSDARG00000074451	99
ENSDARG00000074600	64
ENSDARG00000074635	2002
ENSDARG00000074771	151
ENSDARG00000074815	295
ENSDARG00000074860	313
ENSDARG00000074867	180
ENSDARG00000074915	56
ENSDARG00000074989	416
ENSDARG00000075055	0
ENSDARG00000075098	298
ENSDARG00000075108	122
ENSDARG00000075141	87
ENSDARG00000075179	0
ENSDARG00000075194	100
ENSDARG00000075201	242
ENSDARG00000075325	675
ENSDARG00000075505	38
ENSDARG00000075521	176
ENSDARG00000075541	0
ENSDARG00000075639	150
ENSDARG00000075785	0
ENSDARG00000075798	200
ENSDARG00000075827	680
ENSDARG00000075855	0
ENSDARG00000075858	55
ENSDARG00000075859	567
ENSDARG00000075870	121
ENSDARG00000075887	193
ENSDARG00000076174	205
ENSDARG00000076585	227
ENSDARG00000076773	74
ENSDARG00000076833	2597
ENSDARG00000076900	163
ENSDARG00000076928	604
ENSDARG00000077198	6
ENSDARG00000077519	2
ENSDARG00000077533	2137
ENSDARG00000077542	5
ENSDARG00000077648	174
ENSDARG00000077652	213
ENSDARG00000077688	388
ENSDARG00000077721	388
ENSDARG00000077790	110
ENSDARG00000077804	539
ENSDARG00000077874	11
ENSDARG00000078016	186
ENSDARG00000078057	186
ENSDARG00000078108	75
ENSDARG00000078138	27
ENSDARG00000078182	0
ENSDARG00000078233	933
ENSDARG00000078246	9
ENSDARG00000078308	880
ENSDARG00000078318	36
ENSDARG00000078326	270
ENSDARG00000078474	25
ENSDARG00000078525	42
ENSDARG00000078546	81
ENSDARG00000078558	0
ENSDARG00000078599	170
ENSDARG00000078620	16
ENSDARG00000078733	187
ENSDARG00000078751	509
ENSDARG00000078789	306
ENSDARG00000078810	0
ENSDARG00000078854	251
ENSDARG00000078898	995
ENSDARG00000078908	158
ENSDARG00000079043	0
ENSDARG00000079050	0
ENSDARG00000079163	4
ENSDARG00000079183	47
ENSDARG00000079191	3
ENSDARG00000079250	63
ENSDARG00000079280	240
ENSDARG00000079350	465
ENSDARG00000079377	57
ENSDARG00000079434	594
ENSDARG00000079452	0
ENSDARG00000079455	546
ENSDARG00000079501	65
ENSDARG00000079873	91
ENSDARG00000079925	0
ENSDARG00000079973	96
ENSDARG00000079980	16
ENSDARG00000080019	196
ENSDARG00000080051	1
ENSDARG00000081340	0
ENSDARG00000081405	0
ENSDARG00000081597	0
ENSDARG00000081781	0
ENSDARG00000082290	0
ENSDARG00000082429	0
ENSDARG00000082615	0
ENSDARG00000082660	0
ENSDARG00000083023	0
ENSDARG00000083571	0
ENSDARG00000083573	0
ENSDARG00000083979	0
ENSDARG00000084484	0
ENSDARG00000084766	0
ENSDARG00000084908	0
ENSDARG00000085080	0
ENSDARG00000085360	0
ENSDARG00000085746	0
ENSDARG00000086117	0
ENSDARG00000086166	8
ENSDARG00000086301	0
ENSDARG00000086790	170
ENSDARG00000086859	0
ENSDARG00000086957	189
ENSDARG00000087054	1
ENSDARG00000087148	0
ENSDARG00000087290	23
ENSDARG00000087333	339
ENSDARG00000087359	3309
ENSDARG00000087426	391
ENSDARG00000088019	5
ENSDARG00000088556	0
ENSDARG00000088581	860
ENSDARG00000088745	31
ENSDARG00000088906	4
ENSDARG00000088916	0
ENSDARG00000089053	0
ENSDARG00000089243	250
ENSDARG00000089345	17
ENSDARG00000089667	11
ENSDARG00000089879	8
ENSDARG00000089943	17
ENSDARG00000089976	272
ENSDARG00000090118	0
ENSDARG00000090408	29
ENSDARG00000090557	47
ENSDARG00000090783	50
ENSDARG00000090822	0
ENSDARG00000091184	0
ENSDARG00000091254	0
ENSDARG00000091320	50
ENSDARG00000091609	200
ENSDARG00000091911	0
ENSDARG00000091912	20
ENSDARG00000092070	4
ENSDARG00000092240	119
ENSDARG00000092275	0
ENSDARG00000092290	92
ENSDARG00000092294	1
ENSDARG00000092322	0
ENSDARG00000092350	0
ENSDARG00000092358	21
ENSDARG00000092459	0
ENSDARG00000092500	0
ENSDARG00000092542	0
ENSDARG00000092551	29
ENSDARG00000092604	9
ENSDARG00000092791	0
ENSDARG00000092941	1
ENSDARG00000092984	0
ENSDARG00000093102	0
ENSDARG00000093177	6
ENSDARG00000093237	97
ENSDARG00000093323	48
ENSDARG00000093358	0
ENSDARG00000093494	424
ENSDARG00000093583	3
ENSDARG00000093663	0
ENSDARG00000093816	0
ENSDARG00000093845	0
ENSDARG00000093954	194
ENSDARG00000093975	0
ENSDARG00000094063	0
ENSDARG00000094127	0
ENSDARG00000094133	1393
ENSDARG00000094157	0
ENSDARG00000094202	9
ENSDARG00000094246	3
ENSDARG00000094297	12
ENSDARG00000094298	0
ENSDARG00000094318	0
ENSDARG00000094344	1
ENSDARG00000094346	7
ENSDARG00000094524	0
ENSDARG00000094608	1
ENSDARG00000094648	1
