Total reads: 18680928
Fragment number: 48044795
percentile	count
0	120967
1	328900
2	564698
3	789949
4	941423
5	1079005
6	1216823
7	1375319
8	1487904
9	1580130
10	1659567
11	1766182
12	1826576
13	1825406
14	1874848
15	1971326
16	2008306
17	2102407
18	2157681
19	2178218
20	2227545
21	2243438
22	2244669
23	2267098
24	2232464
25	2249292
26	2208476
27	2153595
28	2126306
29	2125269
30	2129681
31	2142374
32	2148895
33	2213585
34	2212906
35	2209145
36	2179635
37	2179170
38	2198351
39	2173686
40	2162958
41	2167539
42	2177815
43	2192523
44	2158841
45	2123698
46	2132102
47	2159678
48	2173554
49	2182779
50	2200515
51	2231283
52	2233649
53	2186807
54	2181599
55	2191029
56	2186874
57	2215634
58	2221488
59	2227256
60	2209302
61	2191277
62	2165654
63	2155548
64	2143191
65	2124803
66	2057854
67	2053896
68	2079562
69	2097836
70	2152286
71	2159682
72	2135309
73	2118459
74	2100399
75	2086145
76	2054548
77	2024150
78	2007106
79	1981650
80	1954893
81	1908063
82	1945374
83	1925984
84	1865519
85	1800052
86	1750922
87	1683849
88	1641505
89	1599954
90	1527935
91	1454617
92	1373505
93	1278524
94	1177086
95	1057386
96	908723
97	777812
98	634091
99	466116
100	266488
