Total reads: 14047721
Fragment number: 36440072
percentile	count
0	86262
1	242040
2	415582
3	586553
4	699012
5	802659
6	905239
7	1027486
8	1116589
9	1186702
10	1249394
11	1335765
12	1382637
13	1386093
14	1423361
15	1481834
16	1512176
17	1584114
18	1629321
19	1642821
20	1681126
21	1692845
22	1696617
23	1721888
24	1697226
25	1699136
26	1670699
27	1630919
28	1615443
29	1616104
30	1622859
31	1635838
32	1645573
33	1682104
34	1687637
35	1686533
36	1663478
37	1666099
38	1686446
39	1672356
40	1665784
41	1668396
42	1679565
43	1688595
44	1658847
45	1635504
46	1635445
47	1653904
48	1664456
49	1668558
50	1682792
51	1707946
52	1708928
53	1670678
54	1672274
55	1675296
56	1668226
57	1678473
58	1681931
59	1686514
60	1674956
61	1662853
62	1647227
63	1638751
64	1624988
65	1610416
66	1553623
67	1552326
68	1578325
69	1597303
70	1621591
71	1631469
72	1617666
73	1603249
74	1590245
75	1580916
76	1560479
77	1536331
78	1524590
79	1508276
80	1490521
81	1455613
82	1468756
83	1446098
84	1403195
85	1355085
86	1318496
87	1264572
88	1231994
89	1197836
90	1144174
91	1088795
92	1031514
93	958090
94	880539
95	792661
96	687945
97	587594
98	476506
99	348890
100	196724
