Total reads: 18900690
Fragment number: 48449144
percentile	count
0	124526
1	338902
2	575383
3	805302
4	950189
5	1087006
6	1221990
7	1389852
8	1502925
9	1595611
10	1673705
11	1778244
12	1842195
13	1840482
14	1889718
15	1969317
16	2002465
17	2100616
18	2158285
19	2178869
20	2230251
21	2242115
22	2241279
23	2281215
24	2255699
25	2255701
26	2219750
27	2171458
28	2141859
29	2138524
30	2141963
31	2157919
32	2166522
33	2214048
34	2223151
35	2222983
36	2192762
37	2194934
38	2222889
39	2199885
40	2190233
41	2193104
42	2200742
43	2210196
44	2174091
45	2137087
46	2133389
47	2165082
48	2180971
49	2188819
50	2209639
51	2247607
52	2247081
53	2200816
54	2199675
55	2208382
56	2208234
57	2221187
58	2217523
59	2218685
60	2203046
61	2183293
62	2157456
63	2144099
64	2127018
65	2109535
66	2038004
67	2033475
68	2070899
69	2092123
70	2127846
71	2143396
72	2116946
73	2098224
74	2081197
75	2068041
76	2038765
77	2005630
78	1987701
79	1961507
80	1933127
81	1885813
82	1906981
83	1883103
84	1823993
85	1756878
86	1708906
87	1634678
88	1595334
89	1549435
90	1474974
91	1405249
92	1330621
93	1242582
94	1143081
95	1026110
96	887764
97	756843
98	614216
99	452658
100	264823
