Total reads: 18235274
Fragment number: 46749607
percentile	count
0	113717
1	311927
2	534155
3	760171
4	904380
5	1031434
6	1160096
7	1311776
8	1419823
9	1507751
10	1580040
11	1682249
12	1744127
13	1742378
14	1789196
15	1873350
16	1911582
17	1997620
18	2052577
19	2076558
20	2133327
21	2151568
22	2156214
23	2183628
24	2154974
25	2165987
26	2129092
27	2085766
28	2063289
29	2062960
30	2068238
31	2087350
32	2097924
33	2153927
34	2157710
35	2156007
36	2128497
37	2129778
38	2145569
39	2126297
40	2115305
41	2123600
42	2133533
43	2144650
44	2107221
45	2076388
46	2084557
47	2112649
48	2121477
49	2127084
50	2144399
51	2168475
52	2174478
53	2130535
54	2127957
55	2132877
56	2131160
57	2154304
58	2155451
59	2166629
60	2155316
61	2141581
62	2120799
63	2108730
64	2092462
65	2075794
66	2010489
67	2006976
68	2032377
69	2053902
70	2096686
71	2112446
72	2089848
73	2072246
74	2055968
75	2041240
76	2014121
77	1987860
78	1972997
79	1953337
80	1928711
81	1880414
82	1903939
83	1883188
84	1831748
85	1767893
86	1717422
87	1650420
88	1608300
89	1563538
90	1494358
91	1423365
92	1351262
93	1254785
94	1152810
95	1035593
96	900851
97	768106
98	623508
99	457354
100	260040
