-200	-191	140032
-190	-181	79943
-180	-171	70267
-170	-161	59479
-160	-151	209043
-150	-141	529991
-140	-131	555757
-130	-121	567924
-120	-111	575757
-110	-101	565897
-100	-91	572061
-90	-81	584483
-80	-71	592320
-70	-61	587536
-60	-51	581297
-50	-41	572868
-40	-31	560169
-30	-21	543357
-20	-11	523633
-10	-1	517549
0	9	447178
10	19	398999
20	29	358756
30	39	319994
40	49	282427
50	59	251727
60	69	225377
70	79	202423
80	89	179747
90	99	162459
100	109	145878
110	119	131270
120	129	120578
130	139	109980
140	149	101103
150	159	93096
160	169	86495
170	179	80249
180	189	73797
190	199	69016
200	209	62614
210	219	57406
220	229	52584
230	239	47940
240	249	43889
250	259	40606
260	269	36550
270	279	33693
280	289	31132
290	299	28060
300	309	25422
310	319	23795
320	329	21292
330	339	18943
340	349	17569
350	359	16136
360	369	14533
370	379	13670
380	389	12315
390	399	11382
400	409	13388
410	419	9885
420	429	9266
430	439	8351
440	449	7870
450	459	7034
460	469	6650
470	479	6181
480	489	5560
490	499	5040
500	509	4642
510	519	4292
520	529	3992
530	539	3733
540	549	3306
550	559	3182
560	569	2918
570	579	2736
580	589	2552
590	599	2557
600	609	2331
610	619	2148
620	629	2030
630	639	1882
640	649	1752
650	659	1723
660	669	1633
670	679	1507
680	689	1478
690	699	1382
700	709	1371
710	719	1155
720	729	1100
730	739	1040
740	749	1006
750	759	947
760	769	972
770	779	902
780	789	832
790	799	813
800	809	774
810	819	685
820	829	657
830	839	658
840	849	615
850	859	590
860	869	543
870	879	548
880	889	500
890	899	484
900	909	487
910	919	455
920	929	470
930	939	529
940	949	456
950	959	430
960	969	487
970	979	469
980	989	434
