Total reads: 25851030
Fragment number: 66287532
percentile	count
0	173072
1	469734
2	805054
3	1135748
4	1341546
5	1525467
6	1713668
7	1944888
8	2099379
9	2224280
10	2327834
11	2472738
12	2559145
13	2550811
14	2610399
15	2740802
16	2791681
17	2923593
18	3007175
19	3041996
20	3116490
21	3134750
22	3134505
23	3163923
24	3116777
25	3130568
26	3074692
27	3008004
28	2964017
29	2954256
30	2959531
31	2974619
32	2981552
33	3064544
34	3073301
35	3071534
36	3025689
37	3027164
38	3052011
39	3011155
40	2992764
41	3000788
42	3011842
43	3021449
44	2972143
45	2918629
46	2927759
47	2979987
48	3003103
49	3008369
50	3040477
51	3087820
52	3090997
53	3026901
54	3022030
55	3036634
56	3035168
57	3073684
58	3070628
59	3073646
60	3050190
61	3023016
62	2988276
63	2968247
64	2946033
65	2917616
66	2818393
67	2813285
68	2852525
69	2874730
70	2948798
71	2974248
72	2936440
73	2913287
74	2883451
75	2863368
76	2823469
77	2776540
78	2755476
79	2724952
80	2678137
81	2614362
82	2666496
83	2642693
84	2560431
85	2467532
86	2397426
87	2298191
88	2242830
89	2177063
90	2072654
91	1975682
92	1867862
93	1747507
94	1608545
95	1442770
96	1256589
97	1065942
98	866728
99	640009
100	366921
