Total reads: 17044005
Fragment number: 44210853
percentile	count
0	110589
1	306183
2	524109
3	737861
4	881387
5	1010581
6	1140025
7	1293759
8	1399899
9	1488589
10	1561158
11	1660161
12	1718085
13	1720957
14	1767761
15	1845046
16	1873691
17	1956102
18	2006033
19	2024300
20	2069245
21	2080087
22	2087108
23	2120837
24	2089026
25	2097875
26	2060254
27	2005403
28	1979609
29	1981269
30	1984719
31	2001176
32	2007855
33	2056395
34	2058059
35	2057148
36	2030907
37	2030328
38	2049557
39	2028476
40	2015408
41	2016845
42	2030797
43	2039770
44	2003046
45	1974868
46	1980168
47	1999747
48	2012488
49	2020175
50	2038522
51	2065796
52	2065215
53	2020581
54	2019166
55	2020965
56	2018063
57	2032208
58	2029589
59	2030505
60	2014278
61	2002561
62	1981339
63	1970099
64	1955966
65	1939710
66	1876937
67	1869485
68	1894682
69	1914827
70	1952451
71	1966673
72	1943676
73	1927558
74	1913466
75	1902126
76	1875419
77	1845772
78	1830891
79	1813045
80	1785198
81	1742963
82	1772208
83	1748145
84	1694476
85	1633054
86	1586728
87	1522346
88	1485428
89	1445383
90	1374670
91	1306906
92	1235746
93	1152964
94	1062330
95	952928
96	823307
97	700225
98	569551
99	418235
100	239584
