Total reads: 18476302
Fragment number: 47365298
percentile	count
0	120142
1	326557
2	555818
3	777966
4	918630
5	1050565
6	1183674
7	1341806
8	1449134
9	1531766
10	1607314
11	1711023
12	1769509
13	1766926
14	1817588
15	1899697
16	1940745
17	2043834
18	2102152
19	2120704
20	2170586
21	2183334
22	2183713
23	2209437
24	2184806
25	2187498
26	2151590
27	2099912
28	2077573
29	2078098
30	2083017
31	2097233
32	2103218
33	2152299
34	2163510
35	2160646
36	2131657
37	2133152
38	2159912
39	2140935
40	2130040
41	2134684
42	2146403
43	2155953
44	2121090
45	2084041
46	2085049
47	2123854
48	2143264
49	2152293
50	2173515
51	2219607
52	2223431
53	2173618
54	2171634
55	2184098
56	2180071
57	2195959
58	2196416
59	2197590
60	2179947
61	2155022
62	2131248
63	2120988
64	2104275
65	2088451
66	2017934
67	2014813
68	2051931
69	2073586
70	2114441
71	2138230
72	2115176
73	2098426
74	2077175
75	2064418
76	2033552
77	2002320
78	1988324
79	1961855
80	1930092
81	1885473
82	1913517
83	1892795
84	1829161
85	1763269
86	1713885
87	1642785
88	1603867
89	1562271
90	1489534
91	1416083
92	1336978
93	1244674
94	1147497
95	1029596
96	880629
97	751673
98	608182
99	445429
100	256485
