Total reads: 18367650
Fragment number: 47738277
percentile	count
0	114583
1	320035
2	553253
3	781326
4	928158
5	1065601
6	1201387
7	1366199
8	1483945
9	1583961
10	1668786
11	1781907
12	1842789
13	1842359
14	1895037
15	1972546
16	2008092
17	2106113
18	2164372
19	2182921
20	2233297
21	2245912
22	2252791
23	2285436
24	2249290
25	2253201
26	2213829
27	2154542
28	2128852
29	2130872
30	2136417
31	2151586
32	2162657
33	2211514
34	2216467
35	2218470
36	2188940
37	2191802
38	2220755
39	2200195
40	2187754
41	2190432
42	2207152
43	2216919
44	2181058
45	2148262
46	2144330
47	2168035
48	2183231
49	2188307
50	2203304
51	2239646
52	2241169
53	2188444
54	2186495
55	2186887
56	2176672
57	2188631
58	2190850
59	2193010
60	2178655
61	2161773
62	2141916
63	2129375
64	2110453
65	2091703
66	2017916
67	2013606
68	2048558
69	2074051
70	2106108
71	2116250
72	2092856
73	2072260
74	2055643
75	2044838
76	2015043
77	1982904
78	1965955
79	1940476
80	1917662
81	1875161
82	1897717
83	1871234
84	1817142
85	1749795
86	1701006
87	1632589
88	1589732
89	1549463
90	1477227
91	1406167
92	1329481
93	1232070
94	1136736
95	1024248
96	882464
97	756058
98	614068
99	447479
100	254481
