gene	Counts
ENSDARG00000000606	96
ENSDARG00000001870	9444
ENSDARG00000002190	1113
ENSDARG00000002285	456
ENSDARG00000002377	173
ENSDARG00000002406	31
ENSDARG00000002791	12949
ENSDARG00000002937	592
ENSDARG00000003054	54
ENSDARG00000003398	429
ENSDARG00000003631	1010
ENSDARG00000003866	2076
ENSDARG00000004246	1155
ENSDARG00000004427	220
ENSDARG00000004633	88
ENSDARG00000004634	395
ENSDARG00000005210	313
ENSDARG00000005479	3000
ENSDARG00000005544	102
ENSDARG00000005578	1104
ENSDARG00000006392	176
ENSDARG00000006427	10373
ENSDARG00000006621	511
ENSDARG00000007289	35
ENSDARG00000007387	240
ENSDARG00000007534	2
ENSDARG00000007734	37
ENSDARG00000007739	2475
ENSDARG00000008131	321
ENSDARG00000008279	44
ENSDARG00000008457	397
ENSDARG00000008706	2630
ENSDARG00000008723	752
ENSDARG00000008886	213
ENSDARG00000008969	3490
ENSDARG00000009026	1094
ENSDARG00000009472	259
ENSDARG00000010078	410
ENSDARG00000010376	2
ENSDARG00000010442	520
ENSDARG00000010791	551
ENSDARG00000011299	803
ENSDARG00000011876	349
ENSDARG00000012297	170
ENSDARG00000012458	2312
ENSDARG00000012672	397
ENSDARG00000012763	305
ENSDARG00000012896	776
ENSDARG00000012903	1237
ENSDARG00000013023	55
ENSDARG00000013505	778
ENSDARG00000013741	485
ENSDARG00000013787	353
ENSDARG00000013881	389
ENSDARG00000014098	266
ENSDARG00000014790	1013
ENSDARG00000015076	174
ENSDARG00000015266	1754
ENSDARG00000015312	292
ENSDARG00000015559	147
ENSDARG00000015803	61
ENSDARG00000015946	159
ENSDARG00000016065	43
ENSDARG00000016263	953
ENSDARG00000016304	232
ENSDARG00000016470	957
ENSDARG00000016548	1855
ENSDARG00000016706	1634
ENSDARG00000016793	27425
ENSDARG00000016994	291
ENSDARG00000017119	450
ENSDARG00000017255	203
ENSDARG00000017441	78472
ENSDARG00000017537	61
ENSDARG00000017591	4517
ENSDARG00000017744	573
ENSDARG00000017772	9833
ENSDARG00000017905	1222
ENSDARG00000017984	1
ENSDARG00000017985	455
ENSDARG00000018117	5
ENSDARG00000018190	1188
ENSDARG00000018263	408
ENSDARG00000018325	308
ENSDARG00000018460	1567
ENSDARG00000018587	2
ENSDARG00000018721	476
ENSDARG00000019581	972
ENSDARG00000019715	63
ENSDARG00000020857	178
ENSDARG00000022690	386
ENSDARG00000022845	202
ENSDARG00000022971	446
ENSDARG00000023151	5373
ENSDARG00000024785	934
ENSDARG00000024827	54
ENSDARG00000025233	57
ENSDARG00000025325	437
ENSDARG00000025350	6396
ENSDARG00000025754	463
ENSDARG00000025904	1484
ENSDARG00000026068	527
ENSDARG00000026387	69
ENSDARG00000026771	235
ENSDARG00000026902	151
ENSDARG00000027078	1116
ENSDARG00000027355	12271
ENSDARG00000027497	185
ENSDARG00000027572	343
ENSDARG00000027826	58
ENSDARG00000028276	29
ENSDARG00000028982	940
ENSDARG00000029133	465
ENSDARG00000029718	63
ENSDARG00000029751	268
ENSDARG00000030368	768
ENSDARG00000030563	159
ENSDARG00000030703	71
ENSDARG00000030972	228
ENSDARG00000031164	3526
ENSDARG00000031435	2594
ENSDARG00000031632	277
ENSDARG00000031836	783
ENSDARG00000031894	612
ENSDARG00000031952	1108
ENSDARG00000032056	323
ENSDARG00000032808	15
ENSDARG00000033273	92
ENSDARG00000033604	738
ENSDARG00000033666	517
ENSDARG00000034093	312
ENSDARG00000034105	683
ENSDARG00000034785	130
ENSDARG00000034862	424
ENSDARG00000034910	1
ENSDARG00000035692	24929
ENSDARG00000036008	528
ENSDARG00000036295	1221
ENSDARG00000036371	3193
ENSDARG00000036415	264
ENSDARG00000036471	1
ENSDARG00000036479	6
ENSDARG00000036494	131
ENSDARG00000036545	2
ENSDARG00000036587	328
ENSDARG00000036637	36
ENSDARG00000036658	1518
ENSDARG00000036687	1735
ENSDARG00000036967	2089
ENSDARG00000036995	256
ENSDARG00000037002	2
ENSDARG00000037018	505
ENSDARG00000037099	962
ENSDARG00000037100	132
ENSDARG00000037144	213
ENSDARG00000037177	948
ENSDARG00000037178	184
