Total reads: 19758093
Fragment number: 51079868
percentile	count
0	126210
1	349567
2	598758
3	842893
4	1007121
5	1155013
6	1299313
7	1477112
8	1600597
9	1701826
10	1785449
11	1900326
12	1970696
13	1968393
14	2022492
15	2100217
16	2132636
17	2234194
18	2293963
19	2308095
20	2358968
21	2374473
22	2377128
23	2419882
24	2387667
25	2387520
26	2350346
27	2293892
28	2267191
29	2266250
30	2274616
31	2290260
32	2301732
33	2352869
34	2364505
35	2360354
36	2334991
37	2338660
38	2361813
39	2341283
40	2330784
41	2329106
42	2341916
43	2349721
44	2311463
45	2278209
46	2276478
47	2301322
48	2316841
49	2325396
50	2346115
51	2381395
52	2382446
53	2331580
54	2336089
55	2347792
56	2346940
57	2361202
58	2357182
59	2356953
60	2341740
61	2326810
62	2297125
63	2282503
64	2262917
65	2241409
66	2168787
67	2161448
68	2198071
69	2224317
70	2259628
71	2260645
72	2235716
73	2218936
74	2201184
75	2190092
76	2163009
77	2130047
78	2112968
79	2088299
80	2050766
81	2006561
82	2025894
83	1998618
84	1932004
85	1863454
86	1809673
87	1728111
88	1689329
89	1639630
90	1560592
91	1486772
92	1405623
93	1316645
94	1213593
95	1088671
96	942641
97	806018
98	657399
99	486510
100	279240
