-200	-191	140902
-190	-181	80256
-180	-171	70410
-170	-161	59768
-160	-151	217637
-150	-141	555672
-140	-131	583095
-130	-121	595125
-120	-111	602049
-110	-101	590925
-100	-91	589602
-90	-81	604502
-80	-71	604680
-70	-61	601402
-60	-51	591479
-50	-41	578011
-40	-31	567855
-30	-21	544980
-20	-11	525571
-10	-1	516947
0	9	444981
10	19	396794
20	29	355288
30	39	316740
40	49	279188
50	59	246908
60	69	221575
70	79	197410
80	89	176792
90	99	158431
100	109	143175
110	119	129180
120	129	116922
130	139	108007
140	149	99032
150	159	90387
160	169	84222
170	179	78214
180	189	71978
190	199	67055
200	209	60669
210	219	56226
220	229	51606
230	239	46575
240	249	42558
250	259	39243
260	269	35761
270	279	33030
280	289	29989
290	299	27049
300	309	25190
310	319	23511
320	329	20709
330	339	18859
340	349	17389
350	359	15209
360	369	14092
370	379	13129
380	389	12110
390	399	11087
400	409	12669
410	419	9537
420	429	9049
430	439	8364
440	449	7493
450	459	6865
460	469	6442
470	479	5916
480	489	5273
490	499	4888
500	509	4378
510	519	4321
520	529	3911
530	539	3538
540	549	3165
550	559	2997
560	569	2858
570	579	2620
580	589	2558
590	599	2547
600	609	2161
610	619	2065
620	629	2099
630	639	1892
640	649	1808
650	659	1690
660	669	1587
670	679	1539
680	689	1457
690	699	1347
700	709	1323
710	719	1153
720	729	1158
730	739	1066
740	749	1072
750	759	998
760	769	922
770	779	988
780	789	778
790	799	796
800	809	744
810	819	663
820	829	675
830	839	657
840	849	644
850	859	579
860	869	573
870	879	570
880	889	553
890	899	469
900	909	513
910	919	465
920	929	474
930	939	515
940	949	444
950	959	465
960	969	456
970	979	446
980	989	403
