Total reads: 15046962
Fragment number: 38895012
percentile	count
0	97019
1	267741
2	456596
3	634747
4	752796
5	861373
6	972095
7	1098579
8	1190739
9	1265237
10	1322929
11	1407830
12	1458158
13	1459510
14	1497715
15	1571781
16	1601266
17	1677249
18	1722489
19	1739054
20	1781715
21	1791042
22	1793266
23	1813067
24	1789802
25	1799066
26	1767978
27	1726791
28	1706739
29	1707908
30	1711182
31	1722625
32	1728200
33	1775924
34	1777489
35	1774601
36	1750580
37	1750281
38	1769566
39	1752393
40	1739375
41	1744854
42	1756016
43	1764957
44	1736731
45	1710127
46	1717398
47	1740980
48	1749373
49	1755857
50	1769536
51	1796351
52	1797868
53	1762357
54	1761833
55	1769968
56	1766298
57	1785981
58	1786935
59	1790538
60	1776673
61	1761389
62	1741259
63	1731072
64	1715831
65	1701461
66	1644279
67	1639002
68	1660984
69	1677711
70	1717396
71	1724933
72	1709348
73	1694195
74	1680433
75	1669357
76	1645909
77	1621074
78	1607287
79	1589230
80	1563882
81	1527046
82	1550013
83	1527858
84	1480777
85	1427749
86	1385532
87	1327929
88	1294317
89	1261004
90	1199485
91	1139408
92	1079715
93	1007858
94	925807
95	830933
96	716720
97	612423
98	497662
99	366090
100	211184
