Total reads: 24231153
Fragment number: 62460390
percentile	count
0	152645
1	419965
2	720356
3	1016623
4	1211836
5	1382557
6	1557437
7	1766156
8	1913371
9	2036084
10	2132475
11	2271143
12	2357229
13	2359895
14	2422410
15	2525810
16	2569321
17	2680405
18	2754930
19	2782379
20	2855772
21	2872482
22	2886013
23	2934230
24	2898189
25	2911597
26	2864269
27	2801332
28	2767357
29	2764108
30	2771193
31	2792240
32	2805148
33	2880113
34	2887377
35	2882937
36	2849955
37	2852758
38	2873159
39	2843097
40	2830781
41	2833819
42	2848440
43	2863538
44	2817816
45	2780084
46	2787170
47	2824997
48	2839035
49	2848330
50	2867263
51	2897910
52	2906195
53	2850257
54	2849038
55	2856334
56	2857999
57	2885975
58	2887483
59	2894136
60	2875907
61	2857271
62	2827436
63	2812595
64	2791499
65	2769874
66	2678915
67	2672846
68	2708455
69	2737313
70	2793503
71	2800116
72	2771102
73	2746386
74	2726514
75	2712209
76	2676201
77	2638858
78	2610217
79	2580029
80	2542981
81	2491418
82	2522562
83	2494357
84	2420444
85	2337406
86	2271750
87	2181494
88	2127700
89	2068739
90	1974673
91	1878686
92	1778373
93	1667714
94	1538317
95	1385802
96	1194242
97	1024833
98	836249
99	618133
100	349235
