Total reads: 23046997
Fragment number: 60059371
percentile	count
0	143841
1	398336
2	679834
3	952413
4	1132112
5	1297321
6	1465754
7	1670552
8	1810910
9	1928352
10	2025981
11	2164399
12	2246498
13	2250217
14	2315260
15	2404557
16	2452404
17	2581487
18	2660252
19	2677355
20	2744273
21	2758920
22	2767167
23	2821431
24	2795524
25	2798277
26	2752726
27	2691018
28	2662701
29	2660498
30	2672148
31	2692219
32	2707717
33	2766774
34	2780620
35	2779592
36	2743687
37	2753161
38	2786039
39	2762377
40	2748622
41	2756897
42	2770472
43	2784404
44	2742696
45	2700242
46	2697941
47	2739275
48	2760383
49	2769934
50	2796312
51	2844213
52	2849402
53	2792673
54	2794935
55	2809592
56	2808144
57	2824818
58	2825205
59	2826392
60	2807565
61	2785335
62	2757081
63	2743631
64	2722335
65	2703432
66	2612920
67	2607698
68	2657437
69	2688470
70	2733185
71	2743489
72	2717841
73	2695151
74	2671755
75	2656360
76	2621085
77	2583887
78	2563410
79	2529003
80	2490575
81	2440183
82	2468070
83	2436993
84	2362430
85	2278894
86	2215097
87	2125030
88	2076268
89	2020265
90	1929864
91	1843921
92	1744339
93	1624662
94	1495844
95	1344394
96	1164309
97	996499
98	813162
99	596545
100	328576
