Total reads: 24787336
Fragment number: 63719834
percentile	count
0	165008
1	441809
2	754598
3	1065851
4	1263702
5	1441805
6	1621013
7	1833342
8	1984726
9	2111623
10	2216497
11	2352276
12	2436606
13	2438330
14	2503511
15	2602949
16	2647353
17	2775588
18	2850673
19	2883695
20	2951110
21	2969342
22	2971421
23	3013407
24	2980155
25	2980421
26	2933699
27	2870973
28	2838916
29	2834060
30	2842002
31	2867279
32	2878971
33	2936758
34	2948638
35	2949274
36	2913291
37	2915226
38	2944112
39	2921523
40	2902414
41	2905969
42	2914883
43	2927575
44	2886763
45	2845442
46	2843903
47	2879514
48	2899052
49	2909951
50	2933999
51	2979758
52	2984488
53	2921700
54	2918571
55	2933294
56	2929189
57	2943118
58	2943724
59	2943581
60	2920695
61	2897151
62	2868224
63	2853312
64	2830202
65	2808118
66	2718493
67	2714766
68	2759044
69	2786783
70	2831257
71	2841810
72	2810176
73	2789641
74	2764195
75	2749378
76	2712344
77	2670501
78	2647810
79	2620197
80	2581785
81	2527478
82	2555688
83	2522939
84	2445680
85	2358372
86	2297353
87	2203948
88	2148496
89	2088743
90	1991540
91	1894655
92	1793334
93	1680524
94	1552535
95	1397724
96	1210531
97	1030557
98	835147
99	613647
100	353926
