Total reads: 14160853
Fragment number: 36526030
percentile	count
0	84363
1	228608
2	395156
3	561579
4	672179
5	774623
6	877739
7	1007714
8	1094855
9	1169499
10	1234153
11	1318990
12	1369791
13	1371277
14	1411557
15	1470312
16	1501388
17	1590671
18	1641141
19	1657169
20	1697301
21	1708189
22	1711174
23	1744207
24	1726583
25	1729681
26	1702513
27	1664618
28	1641688
29	1642426
30	1647778
31	1658698
32	1666326
33	1703624
34	1713620
35	1716166
36	1694765
37	1697734
38	1721784
39	1703018
40	1695744
41	1700588
42	1710842
43	1720599
44	1698227
45	1672810
46	1670224
47	1699745
48	1715690
49	1721693
50	1743453
51	1781336
52	1785721
53	1748883
54	1746090
55	1761836
56	1764331
57	1777240
58	1778740
59	1776766
60	1764038
61	1748538
62	1730726
63	1723211
64	1712474
65	1702510
66	1646184
67	1646739
68	1677482
69	1697474
70	1727499
71	1740551
72	1725303
73	1713434
74	1699665
75	1691143
76	1667257
77	1639913
78	1629387
79	1608696
80	1583502
81	1549358
82	1572299
83	1554121
84	1508958
85	1455584
86	1417783
87	1362066
88	1329525
89	1294264
90	1233032
91	1176564
92	1111127
93	1039946
94	957991
95	860436
96	735363
97	625136
98	503517
99	362107
100	200183
