Total reads: 12567526
Fragment number: 32555131
percentile	count
0	78896
1	216122
2	373281
3	528306
4	631160
5	727072
6	822537
7	935904
8	1017557
9	1086439
10	1143354
11	1217455
12	1260137
13	1263160
14	1299923
15	1359851
16	1387133
17	1455809
18	1495023
19	1510279
20	1546759
21	1558520
22	1563678
23	1583778
24	1557966
25	1565969
26	1539509
27	1499135
28	1480223
29	1481824
30	1486092
31	1497667
32	1505722
33	1547540
34	1547718
35	1546276
36	1527161
37	1527567
38	1542003
39	1525928
40	1516401
41	1516409
42	1527014
43	1535035
44	1507660
45	1487196
46	1491448
47	1507587
48	1517322
49	1522946
50	1535409
51	1557548
52	1560101
53	1525890
54	1521356
55	1524736
56	1521771
57	1536033
58	1540010
59	1540483
60	1527618
61	1518795
62	1503343
63	1491469
64	1479559
65	1467136
66	1417902
67	1412631
68	1430957
69	1448072
70	1481594
71	1484907
72	1468615
73	1455208
74	1444539
75	1437653
76	1418368
77	1396844
78	1382381
79	1369026
80	1348352
81	1322872
82	1342927
83	1322833
84	1282857
85	1236562
86	1198986
87	1148830
88	1119697
89	1086483
90	1031660
91	982014
92	927590
93	872302
94	804084
95	719778
96	620245
97	526665
98	425422
99	312600
100	176283
