-200	-191	108825
-190	-181	61469
-180	-171	53436
-170	-161	44922
-160	-151	172770
-150	-141	446202
-140	-131	466227
-130	-121	473383
-120	-111	476086
-110	-101	461133
-100	-91	458015
-90	-81	466032
-80	-71	466383
-70	-61	459761
-60	-51	451510
-50	-41	439484
-40	-31	426281
-30	-21	409590
-20	-11	390691
-10	-1	385359
0	9	331922
10	19	294559
20	29	264751
30	39	234689
40	49	207639
50	59	183349
60	69	164168
70	79	146675
80	89	129917
90	99	117760
100	109	104920
110	119	94935
120	129	86411
130	139	79672
140	149	72700
150	159	67242
160	169	62696
170	179	57771
180	189	52471
190	199	48810
200	209	45025
210	219	41075
220	229	37251
230	239	34051
240	249	30986
250	259	28739
260	269	26049
270	279	24148
280	289	22389
290	299	20130
300	309	18745
310	319	17292
320	329	15148
330	339	13908
340	349	12551
350	359	11416
360	369	10183
370	379	9669
380	389	8614
390	399	8352
400	409	9337
410	419	7054
420	429	6581
430	439	6166
440	449	5645
450	459	4877
460	469	4704
470	479	4374
480	489	3862
490	499	3570
500	509	3264
510	519	3106
520	529	2924
530	539	2639
540	549	2350
550	559	2248
560	569	2116
570	579	1901
580	589	1834
590	599	1755
600	609	1652
610	619	1537
620	629	1443
630	639	1404
640	649	1287
650	659	1224
660	669	1155
670	679	1065
680	689	1054
690	699	996
700	709	992
710	719	833
720	729	798
730	739	796
740	749	723
750	759	665
760	769	700
770	779	641
780	789	554
790	799	575
800	809	555
810	819	517
820	829	442
830	839	462
840	849	440
850	859	418
860	869	418
870	879	406
880	889	404
890	899	374
900	909	335
910	919	311
920	929	342
930	939	324
940	949	344
950	959	323
960	969	312
970	979	332
980	989	233
