Total reads: 24072062
Fragment number: 62347200
percentile	count
0	148309
1	414523
2	711130
3	998424
4	1193555
5	1364839
6	1539965
7	1745118
8	1892405
9	2012268
10	2105912
11	2246039
12	2334333
13	2329146
14	2388895
15	2510226
16	2556993
17	2683811
18	2761660
19	2789302
20	2868349
21	2891286
22	2896297
23	2928847
24	2887612
25	2901414
26	2857662
27	2796563
28	2760998
29	2758926
30	2766099
31	2782783
32	2789298
33	2873854
34	2880640
35	2877346
36	2842640
37	2841140
38	2864717
39	2832034
40	2816091
41	2822376
42	2838161
43	2854123
44	2807471
45	2760143
46	2771421
47	2820429
48	2841296
49	2854938
50	2880620
51	2923948
52	2930709
53	2874288
54	2873028
55	2885557
56	2887048
57	2927457
58	2926658
59	2935885
60	2916953
61	2896031
62	2859817
63	2842367
64	2819499
65	2795618
66	2702299
67	2695273
68	2734841
69	2757917
70	2824862
71	2842385
72	2808606
73	2785907
74	2757878
75	2744731
76	2707495
77	2666073
78	2646609
79	2616151
80	2564447
81	2503996
82	2544384
83	2516418
84	2436480
85	2348953
86	2283104
87	2184162
88	2131864
89	2069693
90	1972596
91	1880276
92	1779084
93	1658786
94	1526178
95	1364950
96	1180406
97	1003975
98	816414
99	598277
100	336458
