gene	Counts
ENSDARG00000000606	76
ENSDARG00000001870	6566
ENSDARG00000002190	925
ENSDARG00000002285	341
ENSDARG00000002377	117
ENSDARG00000002406	17
ENSDARG00000002791	9091
ENSDARG00000002937	451
ENSDARG00000003054	39
ENSDARG00000003398	351
ENSDARG00000003631	689
ENSDARG00000003866	1742
ENSDARG00000004246	944
ENSDARG00000004427	192
ENSDARG00000004633	56
ENSDARG00000004634	288
ENSDARG00000005210	194
ENSDARG00000005479	2172
ENSDARG00000005544	74
ENSDARG00000005578	902
ENSDARG00000006392	132
ENSDARG00000006427	6596
ENSDARG00000006621	390
ENSDARG00000007289	19
ENSDARG00000007387	174
ENSDARG00000007534	8
ENSDARG00000007734	28
ENSDARG00000007739	2015
ENSDARG00000008131	215
ENSDARG00000008279	31
ENSDARG00000008457	298
ENSDARG00000008706	1713
ENSDARG00000008723	564
ENSDARG00000008886	160
ENSDARG00000008969	2388
ENSDARG00000009026	852
ENSDARG00000009472	158
ENSDARG00000010078	381
ENSDARG00000010376	2
ENSDARG00000010442	325
ENSDARG00000010791	397
ENSDARG00000011299	594
ENSDARG00000011876	263
ENSDARG00000012297	160
ENSDARG00000012458	1789
ENSDARG00000012672	300
ENSDARG00000012763	243
ENSDARG00000012896	566
ENSDARG00000012903	976
ENSDARG00000013023	39
ENSDARG00000013505	591
ENSDARG00000013741	324
ENSDARG00000013787	252
ENSDARG00000013881	280
ENSDARG00000014098	192
ENSDARG00000014790	758
ENSDARG00000015076	155
ENSDARG00000015266	1126
ENSDARG00000015312	249
ENSDARG00000015559	99
ENSDARG00000015803	40
ENSDARG00000015946	148
ENSDARG00000016065	30
ENSDARG00000016263	781
ENSDARG00000016304	164
ENSDARG00000016470	692
ENSDARG00000016548	1427
ENSDARG00000016706	994
ENSDARG00000016793	19546
ENSDARG00000016994	235
ENSDARG00000017119	333
ENSDARG00000017255	190
ENSDARG00000017441	52022
ENSDARG00000017537	54
ENSDARG00000017591	3266
ENSDARG00000017744	396
ENSDARG00000017772	6889
ENSDARG00000017905	970
ENSDARG00000017984	2
ENSDARG00000017985	314
ENSDARG00000018117	3
ENSDARG00000018190	919
ENSDARG00000018263	901
ENSDARG00000018325	275
ENSDARG00000018460	1181
ENSDARG00000018587	2
ENSDARG00000018721	391
ENSDARG00000019581	836
ENSDARG00000019715	52
ENSDARG00000020857	131
ENSDARG00000022690	298
ENSDARG00000022845	156
ENSDARG00000022971	272
ENSDARG00000023151	4120
ENSDARG00000024785	714
ENSDARG00000024827	38
ENSDARG00000025233	49
ENSDARG00000025325	272
ENSDARG00000025350	4484
ENSDARG00000025754	317
ENSDARG00000025904	1158
ENSDARG00000026068	393
ENSDARG00000026387	60
ENSDARG00000026771	538
ENSDARG00000026902	98
ENSDARG00000027078	791
ENSDARG00000027355	8852
ENSDARG00000027497	130
ENSDARG00000027572	274
ENSDARG00000027826	46
ENSDARG00000028276	25
ENSDARG00000028982	650
ENSDARG00000029133	335
ENSDARG00000029718	27
ENSDARG00000029751	236
ENSDARG00000030368	694
ENSDARG00000030563	123
ENSDARG00000030703	63
ENSDARG00000030972	233
ENSDARG00000031164	2681
ENSDARG00000031435	2042
ENSDARG00000031632	231
ENSDARG00000031836	480
ENSDARG00000031894	486
ENSDARG00000031952	770
ENSDARG00000032056	246
ENSDARG00000032808	10
ENSDARG00000033273	67
ENSDARG00000033604	484
ENSDARG00000033666	416
ENSDARG00000034093	225
ENSDARG00000034105	515
ENSDARG00000034785	96
ENSDARG00000034862	289
ENSDARG00000034910	0
ENSDARG00000035692	18174
ENSDARG00000036008	384
ENSDARG00000036295	911
ENSDARG00000036371	1333
ENSDARG00000036415	205
ENSDARG00000036471	0
ENSDARG00000036479	4
ENSDARG00000036494	132
ENSDARG00000036545	7
ENSDARG00000036587	187
ENSDARG00000036637	26
ENSDARG00000036658	1222
ENSDARG00000036687	1342
ENSDARG00000036967	1448
ENSDARG00000036995	209
ENSDARG00000037002	8
ENSDARG00000037018	423
ENSDARG00000037099	636
ENSDARG00000037100	101
ENSDARG00000037144	180
ENSDARG00000037177	689
ENSDARG00000037178	118
ENSDARG00000037259	447
ENSDARG00000037260	144
ENSDARG00000037261	230
ENSDARG00000037278	67
ENSDARG00000037283	339
ENSDARG00000037383	25
ENSDARG00000037410	102
ENSDARG00000037484	129
ENSDARG00000037487	120
ENSDARG00000037576	5
ENSDARG00000037619	3
ENSDARG00000037646	83
ENSDARG00000037654	95
ENSDARG00000037679	278
ENSDARG00000037713	446
ENSDARG00000037747	462
ENSDARG00000037758	2
ENSDARG00000037760	174
ENSDARG00000037777	179
ENSDARG00000038114	64
ENSDARG00000038352	0
ENSDARG00000039063	41
ENSDARG00000039131	576
ENSDARG00000039613	101
ENSDARG00000039615	58
ENSDARG00000040048	299
ENSDARG00000040245	2561
ENSDARG00000040246	66
ENSDARG00000040250	1
ENSDARG00000040252	258
ENSDARG00000041399	1
ENSDARG00000041570	374
ENSDARG00000042688	23
ENSDARG00000042887	313
ENSDARG00000042988	1728
ENSDARG00000043226	28
ENSDARG00000043247	154
ENSDARG00000043271	3
ENSDARG00000043431	38
ENSDARG00000043445	0
ENSDARG00000043548	291
ENSDARG00000043587	303
ENSDARG00000045618	2325
ENSDARG00000045620	350
ENSDARG00000051965	79
ENSDARG00000051981	135
ENSDARG00000051986	1739
ENSDARG00000051989	94
ENSDARG00000051993	2
ENSDARG00000052012	193
ENSDARG00000052016	265
ENSDARG00000052037	49
ENSDARG00000052207	1402
ENSDARG00000052348	1227
ENSDARG00000052386	221
ENSDARG00000052438	848
ENSDARG00000052480	1087
ENSDARG00000052512	17
ENSDARG00000052677	2
ENSDARG00000052703	98
ENSDARG00000052766	53
ENSDARG00000052895	16
ENSDARG00000052899	0
ENSDARG00000053106	31
ENSDARG00000053241	99
ENSDARG00000053248	442
ENSDARG00000053269	141
ENSDARG00000053500	412
ENSDARG00000053502	800
ENSDARG00000053542	261
ENSDARG00000053580	4
ENSDARG00000054031	97
ENSDARG00000054334	129
ENSDARG00000054655	1
ENSDARG00000054680	20
ENSDARG00000056151	3497
ENSDARG00000056163	36
ENSDARG00000056376	26
ENSDARG00000056400	45
ENSDARG00000056742	486
ENSDARG00000056797	469
ENSDARG00000057114	213
ENSDARG00000057303	875
