Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
srpk3_hom_ttnb_het_9	-7.212005387435432	0.9966374202561467	-1.5330280874192392	0.7719886397497846	-2.8818501440761604	1.9752281860396552	-0.5947300403449044	-2.0984789476356744	1.153132171532552	3.154268448224189
srpk3_wt_ttnb_het_3	-5.485779663016451	-3.8149209613135837	5.515191417388726	0.7211219715297162	1.8155104287933392	1.039814007943799	-0.4040123069335896	3.6841038878183	0.18215483476248429	0.4657082230631281
srpk3_wt_ttnb_het_9	-3.026253471569561	-5.656033721724332	-2.1764093683663757	-0.02572958326516008	2.4006625276289557	-4.545901949888127	0.6289051217958019	-1.5423883130737641	-2.4081858511853365	0.7248890564106211
srpk3_hom_ttnb_het_2	-4.262706416520236	3.844390892100182	-4.5730044912613375	-4.157222182671439	1.8374161398095008	0.5223993319804507	0.9282977590785402	2.262709277239145	1.274222278508942	-1.2866619648758095
srpk3_hom_ttnb_het_10	-4.574561510277976	1.8865763327601124	0.6261979268218477	2.894229704236837	-3.5218624527326745	-0.8090484601509811	0.20435718753369547	-0.6793529242300959	-0.8685636051796867	-3.6863081596471297
srpk3_hom_ttnb_het_8	1.382055609488348	6.717654376364068	3.021888033071361	0.91849302979919	4.4559421568785345	-0.11878647997975691	-0.3724434784282781	-3.2296330777836544	1.0982182368435711	-0.22713475244615206
srpk3_wt_ttnb_het_2	5.396418573203546	-4.436776256707034	-0.2211746771007133	1.3794335372214175	-0.8498687172384789	-0.5823509947217775	3.9981569970183246	-0.08078412747883286	3.49452032804444	-0.06285107119932187
srpk3_wt_ttnb_het_8	4.743329917591374	-1.8500579574518037	-1.0199926525399126	-0.2521097611427362	-1.0049457319222914	-1.9408927130518592	-5.468410829442593	0.7360968521251686	1.884076888377269	-0.25127030944519885
srpk3_wt_ttnb_het_1	3.508912570327269	-5.485038369161172	-0.047527799343972076	-2.423972685831488	0.2991685644240756	4.909026031723708	-0.4620106615089528	-2.0799951074870355	-1.786783813560466	-1.1556448470608327
srpk3_hom_ttnb_het_7	5.381726866258905	3.6423805307977	-2.990054620533589	4.243334645868433	0.7196344773425749	1.5175061906116587	0.31727932645036305	2.50688573952662	-2.3251544146844414	1.1380297061880744
srpk3_hom_ttnb_het_1	4.14886291195021	4.155187714079719	3.3979143192832133	-4.06956731549456	-3.2698072489073766	-1.966993150506775	1.2246109247815893	0.5208367409798197	-1.6976370534593228	1.1869756707884243
