Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11
srpk3_hom_ttnb_het_9	-4.106685602420461	5.276892771324815	-0.2483608743408457	0.9256506413243016	-2.4468300560640164	0.42285223067777356	-2.653253833337992	0.2916080932811005	3.108033075744962	-1.018670559802143	-1.4185429747720324
srpk3_hom_ttnb_wt_4	-4.555618936927834	0.8033043428543425	4.337374999273689	-1.045476162213029	4.6217264871531505	-2.0153035364988434	-0.6124742974256165	1.2945770478796694	0.38293244620164824	2.339243027080287	-0.363269402786602
srpk3_hom_ttnb_wt_8	-5.541772637651651	-4.38380367018898	2.257174375469126	-0.9250252060448375	0.621687531221828	2.5748017960349596	-1.2198290377577095	0.22948368750506937	-0.5699837622675551	-2.478600684566893	2.312044227540448
srpk3_hom_ttnb_wt_6	-3.512182860661837	0.7970013722848732	-5.071191837966992	-1.727847393524494	2.4175153467127815	-0.8312476851528527	3.7217936005747374	-1.1488219119683705	0.33439026157201696	-1.7321877956931842	-1.1604382914605844
srpk3_hom_ttnb_het_2	-3.2298523854700543	0.5494468615353876	5.246012498828815	1.5924700631130873	-3.6681007447196077	0.7000922010485482	2.7280032263464036	-1.0525372954440007	-2.1492793375842862	0.6370558375673271	-1.1695406556975416
srpk3_hom_ttnb_het_10	-0.8150263820745267	3.898770280123949	-3.564231369757651	0.48768142438903234	-2.1814766801823873	-1.3606959215754877	1.395903757887405	2.1489711542438994	-0.12009570879735154	1.3876522919447605	3.012177692982362
srpk3_hom_ttnb_wt_7	-0.8659035208671868	-0.42702683341638337	-5.480760040107723	0.9591826302749983	0.7382270895209306	2.909006467040742	-2.560826889860199	-0.5878504836209941	-2.7579945887733204	1.6692602891881254	-1.0037088941281167
srpk3_hom_ttnb_het_8	1.211530513670349	-5.345823863628512	-0.960768173774908	4.277906319966446	-0.24188155782858273	-4.703793195690938	-1.1340414355105217	-1.789200426688482	0.28889442170296287	-0.37204724276038864	0.2534637864515854
srpk3_hom_ttnb_wt_5	6.146855567333786	3.7991380303883386	1.9407752996165168	0.09353238951226095	1.6714187914536716	2.1068587738022524	0.28787672567283956	-3.8392359723912426	1.248199482764995	0.5571395520845339	1.4040683941586276
srpk3_hom_ttnb_wt_1	6.488171569493499	3.705685642484764	1.5873436279274997	-2.6098748309412936	-0.02682991575567048	-2.397596396107745	-1.44076464462721	1.2163685869408	-2.5608684867554983	-2.0328338313683036	-0.5190478317920142
srpk3_hom_ttnb_het_7	2.7205311709870945	-6.00702738113076	-0.5775141327269864	-5.29481227117822	-2.776668115908807	-0.04631505601696362	-0.08806779677210837	-0.13054398718315144	1.573136401353577	1.4443618828019282	-0.49684137935178674
srpk3_hom_ttnb_het_1	6.059953504588818	-2.666557552631828	0.5341456275594565	3.2666123953217445	1.271211824396703	2.6413403224385505	1.5756806248099746	3.367181507445698	1.222635794837845	-0.4003727664760405	-0.8503646711443436
